rank,code,company_name,market_cap,scrape_date
466,6544,ジャパンエレベーターサービスホールディングス(株),322245,2025-12-07
467,4902,コニカミノルタ(株),319493,2025-12-07
468,4922,(株)コーセー,317566,2025-12-07
469,4666,パーク２４(株),315755,2025-12-07
470,8524,(株)北洋銀行,315302,2025-12-07
471,9044,南海電気鉄道(株),314352,2025-12-07
472,4530,久光製薬(株),312160,2025-12-07
473,9048,名古屋鉄道(株),311672,2025-12-07
474,6454,マックス(株),311335,2025-12-07
475,429A,テクセンドフォトマスク(株),309294,2025-12-07
476,9507,四国電力(株),308698,2025-12-07
477,6754,アンリツ(株),308222,2025-12-07
478,7014,(株)名村造船所,307429,2025-12-07
479,7966,リンテック(株),307352,2025-12-07
480,6787,(株)メイコー,306898,2025-12-07
481,4927,(株)ポーラ・オルビスホールディングス,305782,2025-12-07
482,2607,不二製油(株),304041,2025-12-07
483,4680,(株)ラウンドワン,302897,2025-12-07
484,6952,カシオ計算機(株),302619,2025-12-07
485,9759,(株)ＮＳＤ,301860,2025-12-07
486,7906,ヨネックス(株),299973,2025-12-07
487,3941,レンゴー(株),299652,2025-12-07
488,1417,(株)ミライト・ワン,298634,2025-12-07
489,8050,セイコーグループ(株),298525,2025-12-07
490,2531,宝ホールディングス(株),298442,2025-12-07
491,8078,阪和興業(株),295059,2025-12-07
492,141A,(株)トライアルホールディングス,294040,2025-12-07
493,4043,(株)トクヤマ,293904,2025-12-07
494,4540,(株)ツムラ,293370,2025-12-07
495,4046,(株)大阪ソーダ,293117,2025-12-07
496,3048,(株)ビックカメラ,292944,2025-12-07
497,9302,三井倉庫ホールディングス(株),292765,2025-12-07
498,6436,アマノ(株),292460,2025-12-07
499,7581,(株)サイゼリヤ,289066,2025-12-07
500,8283,(株)ＰＡＬＴＡＣ,288734,2025-12-07
501,1961,三機工業(株),287087,2025-12-07
502,2432,(株)ディー・エヌ・エー,286492,2025-12-07
503,8020,兼松(株),282653,2025-12-07
504,6507,シンフォニアテクノロジー(株),282401,2025-12-07
505,2810,ハウス食品グループ本社(株),282247,2025-12-07
506,9934,因幡電機産業(株),280398,2025-12-07
507,2222,寿スピリッツ(株),280263,2025-12-07
508,4114,(株)日本触媒,279075,2025-12-07
509,3292,イオンリート投資法人,278170,2025-12-07
510,4118,(株)カネカ,277662,2025-12-07
511,1414,ショーボンドホールディングス(株),276627,2025-12-07
512,8967,日本ロジスティクスファンド投資法人,276264,2025-12-07
513,3466,ラサールロジポート投資法人,273498,2025-12-07
514,8961,森トラストリート投資法人,273408,2025-12-07
515,3234,森ヒルズリート投資法人,271995,2025-12-07
